District,Block,Gram Panchayat,Village,Habitation,New Location,PWS Scheme Code,PWS Scheme Name,Latitude,Longitude,Sample Id,Fluoride (mg/l)in TW water sample ,Total Coliform (CFU/100ml) in TW water sample 
PURULIA,PARA,BAHARA,FATEPUR,FATEPUR,NO,,,23.5558631,86.4006252,2050298,0.3,0
PURULIA,PUNCHA,JAMBAD,BANSA,BANSATOLA GUGUITAR,NO,,,23.178335,86.5942533,0280604,0.3,0
PURULIA,PUNCHA,JAMBAD,BANSA,JYOTIYADHAR,NO,,,23.1629312,86.5894762,0280606,0.3,0
PURULIA,BARABAZAR,BANJORA,SHIRAMANIPUR,SHIROMONI PUR,NO,,,23.0885604,86.4610851,2070340,0.297,0
PURULIA,PARA,BAHARA,FATEPUR,FATEPUR,NO,,,23.560086,86.3972076,2050293,0.29,0
PURULIA,BARABAZAR,BANJORA,SHIRAMANIPUR,SHIROMONI PUR,NO,,,23.0883282,86.461165,2070339,0.287,0
PURULIA,JHALDA - I,NAYADIH,BIRUDI,BIRUDI,NO,,,23.3139033,85.9055133,1020453,0.28,0
PURULIA,PARA,BAHARA,BAHARA,BAHARA,NO,,,23.5564767,86.398595,2050296,0.28,20
PURULIA,PARA,NADIHA SURULIA,NADIHA,NODIHA,NO,,,23.4951632,86.4084376,2050280,0.27,80
PURULIA,PUNCHA,JAMBAD,BANSA,BANSATOLA GUGUITAR,NO,,,23.1732715,86.5907702,0280599,0.26,0
PURULIA,PUNCHA,JAMBAD,BANSA,JYOTIYADHAR,NO,,,23.1640655,86.5935159,0280610,0.26,0
PURULIA,PUNCHA,JAMBAD,BANSA,JYOTIYADHAR,NO,,,23.1605283,86.5886233,0280612,0.26,0
PURULIA,PUNCHA,JAMBAD,BANSA,BANSATOLA GUGUITAR,NO,,,23.1731551,86.5905799,0280600,0.25,0
PURULIA,PUNCHA,JAMBAD,BANSA,BANSATOLA GUGUITAR,NO,,,23.1807769,86.5979785,0280605,0.24,0
PURULIA,BUNDWAN,BANDWAN,BANDOAN,BANDWAN,NO,,,22.8740421,86.5051738,290301,0.23,0
