District,Block,Gram Panchayat,Village,Habitation,New Location,PWS Scheme Code,PWS Scheme Name,Latitude,Longitude,Sample Id,Fluoride (mg/l)in TW water sample ,Total Coliform (CFU/100ml) in TW water sample 
PURULIA,SANTURI,RAMCHANDRAPUR KOTALDIH,KOTALDIH,KATALDI,NO,,,23.5920617,86.8014317,2040122,,0
PURULIA,SANTURI,RAMCHANDRAPUR KOTALDIH,KOTALDIH,KATALDI,NO,,,23.5890099,86.7990184,2040121,,0
PURULIA,SANTURI,RAMCHANDRAPUR KOTALDIH,LALGAR,LALGAR,NO,,,23.5830466,86.7954331,2040120,,0
PURULIA,SANTURI,RAMCHANDRAPUR KOTALDIH,LALGAR,LALGAR,NO,,,23.5816131,86.7947889,2040119,,0
PURULIA,SANTURI,RAMCHANDRAPUR KOTALDIH,LALGAR,LALGAR,NO,,,23.579105,86.795915,2040118,,0
PURULIA,SANTURI,RAMCHANDRAPUR KOTALDIH,LALGAR,LALGAR,NO,,,23.57974,86.7938,2040117,,0
PURULIA,SANTURI,RAMCHANDRAPUR KOTALDIH,KINAIDIH,KINAIDI,NO,,,23.5860167,86.795175,2040116,,0
PURULIA,SANTURI,RAMCHANDRAPUR KOTALDIH,KINAIDIH,KINAIDI,NO,,,23.58806,86.7948333,2040115,,0
PURULIA,SANTURI,RAMCHANDRAPUR KOTALDIH,KOTALDIH,KATALDI,NO,,,23.5879316,86.798068,2040114,,0
PURULIA,SANTURI,RAMCHANDRAPUR KOTALDIH,KOTALDIH,KATALDI,NO,,,23.5874467,86.7995933,2040113,,0
PURULIA,ARSHA,SIRKABAD,SIRKABAD,SHIRKABAD,NO,,,23.2718379,86.1990403,2020265,,0
PURULIA,ARSHA,SIRKABAD,GURAHATA,GURAHATA,NO,,,23.2723781,86.2077302,2020262,,0
PURULIA,ARSHA,SIRKABAD,SIRKABAD,SHIRKABAD,NO,,,23.2729248,86.1975531,2020266,,0
PURULIA,ARSHA,SIRKABAD,GANDHABAZAR ALIAS RAGHUNATHGANJ,GANDHA BAZER,NO,,,23.2890384,86.1953534,2020261,,0
PURULIA,ARSHA,SIRKABAD,GANDHABAZAR ALIAS RAGHUNATHGANJ,GANDHA BAZER,NO,,,23.2909324,86.1967011,2020260,,0
PURULIA,ARSHA,SIRKABAD,AHARARA,AHARRAH,NO,,,23.2940761,86.2018594,2020259,,0
PURULIA,ARSHA,SIRKABAD,AHARARA,AHARRAH,NO,,,23.2942596,86.2035148,2020258,,0
PURULIA,ARSHA,SIRKABAD,HETHJAMBAD,HET JAMBAD,NO,,,23.2921128,86.2164502,2020257,,0
PURULIA,ARSHA,SIRKABAD,LACHHAMANPUR,MUDIDIH,NO,,,23.2912509,86.2161817,2020256,,0
PURULIA,ARSHA,SIRKABAD,LACHHAMANPUR,LACHMAN PUR,NO,,,23.2901944,86.2132928,2020255,,0
PURULIA,ARSHA,SIRKABAD,LACHHAMANPUR,MUDIDIH,NO,,,23.2900943,86.2120456,2020254,,0
PURULIA,ARSHA,SIRKABAD,LACHHAMANPUR,LACHMAN PUR,NO,,,23.2899841,86.2154289,2020253,,0
PURULIA,ARSHA,SIRKABAD,LACHHAMANPUR,LACHMAN PUR,NO,,,23.2887866,86.2164429,2020252,,0
PURULIA,ARSHA,SIRKABAD,SENABANA,SENABONA,NO,,,23.2872082,86.2326564,2020251,,0
PURULIA,ARSHA,SIRKABAD,KULTANR ALIAS PAHARPUR,JAJADIH,NO,,,23.2738698,86.2156275,2020247,,0
PURULIA,ARSHA,SIRKABAD,KULTANR ALIAS PAHARPUR,JAJADIH,NO,,,23.2736648,86.217265,2020246,,0
PURULIA,ARSHA,SIRKABAD,KULTANR ALIAS PAHARPUR,BANDHDIH,NO,,,23.2735784,86.2136257,2020245,,0
PURULIA,ARSHA,SIRKABAD,SIRKABAD,SHIRKABAD,NO,,,23.2784828,86.2050582,2020244,,0
PURULIA,ARSHA,SIRKABAD,SIRKABAD,SHIRKABAD,NO,,,23.2782208,86.1974489,2020243,,0
PURULIA,ARSHA,SIRKABAD,SIRKABAD,SHIRKABAD,NO,,,23.2809859,86.1987347,2020242,,0
PURULIA,RAGHUNATHPUR - I,SANKA,METYALA,DALANDANGA,NO,,,23.5156247,86.6446591,2080165,,0
PURULIA,RAGHUNATHPUR - I,SANKA,METYALA,METYALA,NO,,,23.507998,86.6253627,2080164,,0
PURULIA,RAGHUNATHPUR - I,SANKA,JORABEL,JORABEL,NO,,,23.4880882,86.60933,2080163,,8
PURULIA,RAGHUNATHPUR - I,SANKA,BARMASIYA,BARMASIYA,NO,,,23.4914488,86.6208664,2080162,,0
PURULIA,RAGHUNATHPUR - I,SANKA,GOPINATHPUR,GOPINATHPUR,NO,,,23.5098219,86.6237874,2080161,,0
PURULIA,RAGHUNATHPUR - I,BERO,PURBBA BERO,PURBA BERO,NO,,,23.5259207,86.7541054,2080171,,0
PURULIA,RAGHUNATHPUR - I,SANKA,SHANKA,RAMNAGAR,NO,,,23.5128102,86.6319432,2080170,,0
PURULIA,RAGHUNATHPUR - I,SANKA,BHAGAIPUR,BHAGAIPUR,NO,,,23.5161876,86.6328946,2080169,,0
PURULIA,RAGHUNATHPUR - I,SANKA,SHANKA,SANKA,NO,,,23.5247221,86.6307791,2080168,,0
PURULIA,RAGHUNATHPUR - I,SANKA,SHANKA,SANKA,NO,,,23.5244105,86.6328897,2080167,,0
PURULIA,RAGHUNATHPUR - I,SANKA,METYALA,DIGHITOLA,NO,,,23.5199379,86.6470681,2080166,,0
